ID,x0,x1,u0,u1
0,0,0,0,1
1,0,0.0816327,0,1
2,0,0.163265,0,1
3,0,0.244898,0,1
4,0,0.326531,0,1
5,0,0.408163,0,1
6,0,0.489796,0,1
7,0,0.571429,0,1
8,0,0.653061,0,1
9,0,0.734694,0,1
10,0,0.816327,0,1
11,0,0.897959,0,1
12,0,0.979592,0,1
13,0,1.06122,0,1
14,0,1.14286,0,1
15,0,1.22449,0,1
16,0,1.30612,0,1
17,0,1.38776,0,1
18,0,1.46939,0,1
19,0,1.55102,0,1
20,0,1.63265,0,1
21,0,1.71429,0,1
22,0,1.79592,0,1
23,0,1.87755,0,1
24,0,1.95918,0,1
25,0,2.04082,0,1
26,0,2.12245,0,1
27,0,2.20408,0,1
28,0,2.28571,0,1
29,0,2.36735,0,1
30,0,2.44898,0,1
31,0,2.53061,0,1
32,0,2.61224,0,1
33,0,2.69388,0,1
34,0,2.77551,0,1
35,0,2.85714,0,1
36,0,2.93878,0,1
37,0,3.02041,0,1
38,0,3.10204,0,1
39,0,3.18367,0,1
40,0,3.26531,0,1
41,0,3.34694,0,1
42,0,3.42857,0,1
43,0,3.5102,0,1
44,0,3.59184,0,1
45,0,3.67347,0,1
46,0,3.7551,0,1
47,0,3.83673,0,1
48,0,3.91837,0,1
49,0,4,0,1
50,0.000740205,4.09424,0,1
51,0.00296064,4.18846,0,1
52,0.00666075,4.28264,0,1
53,0.0118396,4.37674,0,1
54,0.018496,4.47075,0,1
55,0.0266282,4.56465,0,1
56,0.0362343,4.65841,0,1
57,0.0473118,4.752,0,1
58,0.0598581,4.84541,0,1
59,0.07387,4.93861,0,1
60,0.089344,5.03157,0,1
61,0.106276,5.12429,0,1
62,0.124663,5.21672,0,1
63,0.144499,5.30886,0,1
64,0.16578,5.40067,0,1
65,0.188501,5.49214,0,1
66,0.212655,5.58324,0,1
67,0.238238,5.67395,0,1
68,0.265242,5.76424,0,1
69,0.293661,5.8541,0,1
70,0.323488,5.9435,0,1
71,0.354715,6.03243,0,1
72,0.387336,6.12085,0,1
73,0.421341,6.20875,0,1
74,0.456723,6.2961,0,1
75,0.493472,6.38289,0,1
76,0.53158,6.46909,0,1
77,0.571038,6.55468,0,1
78,0.611835,6.63964,0,1
79,0.653961,6.72394,0,1
80,0.697406,6.80758,0,1
81,0.74216,6.89052,0,1
82,0.788211,6.97275,0,1
83,0.835548,7.05425,0,1
84,0.884159,7.13499,0,1
85,0.934032,7.21496,0,1
86,0.985156,7.29414,0,1
87,1.03752,7.3725,0,1
88,1.0911,7.45003,0,1
89,1.1459,7.52671,0,1
90,1.20189,7.60252,0,1
91,1.25907,7.67744,0,1
92,1.31742,7.75146,0,1
93,1.37692,7.82454,0,1
94,1.43756,7.89669,0,1
95,1.49933,7.96787,0,1
96,1.56221,8.03808,0,1
97,1.62619,8.10728,0,1
98,1.69124,8.17548,0,1
99,1.75736,8.24264,0,1
100,1.82452,8.30876,0,1
101,1.89272,8.37381,0,1
102,1.96192,8.43779,0,1
103,2.03213,8.50067,0,1
